	data_type	type	sampled_tips	lambda	lambda_min	lambda_max	psi	psi_min	psi_max	upsilon	upsilon_min	upsilon_max	phi	phi_min	phi_max	p	p_min	p_max
94.tree	tree	real	522	0.2082717257476565			0.05476574729047161			0.4691988004421403			8.13849983919244			0.0805306357084986		
94.tree	tree	bdct		0.207378	0.193673	0.22168	0.0347515	0.0226221	0.0509634	0.445262	0.365254	0.528148	8.56647	6.55737	10.9609	0.0805306	0.0805306	0.0805306
95.tree	tree	bd		0.132757	0.125037	0.141339	0.0615221	0.0530111	0.0701046	0			0.0615221			0.305364	0.305364	0.305364
95.tree	tree	real	735	0.12705987133325497			0.052771379675119766			0.1651990472390415			26.33350261519736			0.3053642312785768		
95.tree	tree	bdct		0.126682	0.117845	0.136218	0.0453282	0.036324	0.0548645	0.155272	0.112815	0.205593	29.1726	20.32	40.6105	0.305364	0.305364	0.305364
96.tree	tree	bdct		0.277626	0.248991	0.308135	0.0497036	0.0329618	0.071637	0.725394	0.637554	0.805309	26.0023	20.908	31.9839	0.538065	0.538065	0.538065
96.tree	tree	bd		0.315571	0.289766	0.342265	0.17825	0.153325	0.204949	0			0.17825			0.538065	0.538065	0.538065
96.tree	tree	real	509	0.27452592778141727			0.061828875121986475			0.7334552678604186			28.80677005581556			0.5380647800979109		
97.tree	tree	real	633	0.561524524446724			0.1994022587804973			0.0549322798040762			20.02662584062182			0.4071008958093083		
97.tree	tree	bd		0.56663	0.531278	0.603802	0.22452	0.191341	0.259798	0			0.22452			0.407101	0.407101	0.407101
97.tree	tree	bdct		0.561279	0.51696	0.607983	0.202801	0.163387	0.247615	0.0547959	0.0222614	0.100025	20.0281	8.34116	53.2937	0.407101	0.407101	0.407101
98.tree	tree	real	687	0.7764658979457395			0.07983580987443335			0.2296321742980763			3.990290519404211			0.6689819781877246		
98.tree	tree	bd		0.752166	0.703017	0.803626	0.115427	0.0930783	0.141174	0			0.115427			0.668982	0.668982	0.668982
98.tree	tree	bdct		0.788529	0.720081	0.860951	0.0703991	0.0492541	0.0980537	0.152961	0.0961983	0.22079	6.70508	4.07157	11.2024	0.668982	0.668982	0.668982
99.tree	tree	bdct		0.348736	0.316136	0.383056	0.0648437	0.0458901	0.0877304	0.432061	0.349362	0.517474	10.5948	7.86099	14.0313	0.542628	0.542628	0.542628
99.tree	tree	bd		0.363509	0.337313	0.391156	0.150262	0.127523	0.175054	0			0.150262			0.542628	0.542628	0.542628
99.tree	tree	real	575	0.3473211826933771			0.06701341731807574			0.4530165408673565			10.06728048559824			0.5426283162273703		
