	type	sampled_tips	lambda	lambda_min	lambda_max	psi	psi_min	psi_max	phi	phi_min	phi_max	R_naught	R_naught_min	R_naught_max	infectious_time	infectious_time_min	infectious_time_max	p	p_min	p_max	upsilon	upsilon_min	upsilon_max	partner_removal_time	partner_removal_time_min	partner_removal_time_max
3	BDPN(p)		0.44310677006565535	0.4128846275806984	0.4745640773820423	0.15055448807936905	0.12952338819320774	0.173439225754355	71.47224744475427	58.53378797691117	86.42076893168854	2.9431654659943387	2.7424265649459394	3.1521084720627024	6.6421135148945	5.7657083952641575	7.720613349832367	0.8773057189071051	0.8773057189071051	0.8773057189071051	0.3480141373117742	0.3017935097000542	0.3957670081141345	0.013991444732068451	0.011571292553419096	0.0170841497631155
4	BD(p)		0.5161991664936882	0.4895335846341517	0.5438414453787397	0.3408947412217685	0.31367660764736904	0.36949521763717696				1.514247960070102	1.4360256273818153	1.5953353912988193	2.933456809618109	2.7063949741886577	3.1879967317301077	0.4566571813926974	0.4566571813926974	0.4566571813926974						
4	BDPN(p)		0.4159819511800684	0.3932876257249084	0.43981389130765136	0.13205301207345851	0.1136236822506284	0.15207752807110336	56.26733601099946	50.511575564561774	62.50684616055356	3.1501133116802036	2.9782556228715946	3.330585833687697	7.572716322772854	6.575593466593259	8.800982156116222	0.4566571813926974	0.4566571813926974	0.4566571813926974	0.7498627899021771	0.7051932291755827	0.7918780244107959	0.017772300430297858	0.01599824757485643	0.019797442246121233
4	real	808.0	0.41872635048364015			0.13024883603502982			54.0676844321516			3.214818367904844			7.677611796323882			0.4566571813926974			0.7442333920511603			0.018495336179134486		
5	BDPN(p)		0.5129944960112174	0.4799948507604944	0.5473091591335315	0.08175424294248039	0.06535103734478906	0.10082616993217036	26.797552462395505	22.999029934690817	31.023781050383267	6.274836357693919	5.8711919220902455	6.694565803986472	12.231781055125998	9.918059970667716	15.301975923106562	0.6349737110422649	0.6349737110422649	0.6349737110422649	0.5526777341492993	0.4981655748240267	0.6068456647796576	0.03731684083474717	0.032233337334865116	0.04348009471876202
5	real	564.0	0.49377051921884435			0.10407903377970058			24.595491753767217			4.744188154782319			9.608083046933881			0.6349737110422649			0.5851395501142435			0.04065785754606159		
5	BD(p)		0.5393780925705961	0.5062552216409597	0.5736918498840073	0.2334426819775943	0.204387346730395	0.2639531359973093				2.310537593216845	2.1686489263756394	2.4575276681368403	4.283706782018464	3.7885513131777815	4.89267078416106	0.6349737110422649	0.6349737110422649	0.6349737110422649						
6	BDPN(p)		0.5795079289831547	0.5439161325711052	0.6166796735117055	0.14844479316683035	0.12598250045782106	0.17323664462574007	37.01852069418137	31.20516127364129	43.59527724530445	3.903861608213311	3.664097075872661	4.1542694786111305	6.7365111208457495	5.772450754633335	7.937610353549062	0.6875161265545106	0.6875161265545106	0.6875161265545106	0.38665601718327663	0.3398343901024892	0.4351724845740526	0.027013505165731314	0.022938264490741544	0.03204598083089193
6	real	658.0	0.5708232168623668			0.1572889051116076			37.12582248496221			3.629138472655318			6.357727516066244			0.6875161265545106			0.42248966607265376			0.026935430195655582		
6	BD(p)		0.6053725522107782	0.569960097979678	0.6425433347486809	0.2683250986718423	0.2385642966712661	0.3007413250079831				2.2561160145184185	2.124140085295304	2.394644921139122	3.726822443930173	3.3251166928038747	4.1917420752107235	0.6875161265545106	0.6875161265545106	0.6875161265545106						
7	BDPN(p)		0.16258647916280816	0.15248732421513267	0.17307519104323382	0.13129373435601285	0.1216234962592775	0.1417827745103956	61.970209457214615	34.412368874617854	104.59978970507493	1.2383414940574595	1.161421182534513	1.3182288697336266	7.616509690313362	7.053042962752004	8.222095489412634	0.7509665463618337	0.7509665463618337	0.7509665463618337	0.04544896278569472	0.02911574178458568	0.0659568952258458	0.016136785864672903	0.009560248666078174	0.02905931886420025
7	BD(p)		0.163651189314004	0.15348548998187872	0.17413989002517566	0.13650167242356476	0.12644490767337832	0.14699065794450303				1.1988951227366231	1.1244220474135522	1.2757344795367744	7.325917567493236	6.803153438346772	7.908582626222596	0.7509665463618337	0.7509665463618337	0.7509665463618337						
7	real	814.0	0.16302778111167676			0.1334918033008829			60.67411960254851			1.2212568643201371			7.491096646181767			0.7509665463618337			0.06373854291469172			0.016481491722510247		
8	BD(p)		0.23805904454086735	0.2250948780425387	0.2514073065394029	0.17771345621351556	0.1645980043851687	0.19201602874822624				1.3395667925947543	1.2666169621511174	1.4146779422113491	5.6270359111047865	5.207898562006051	6.0754078017856346	0.3015606451401779	0.3015606451401779	0.3015606451401779						
8	BDPN(p)		0.22526033674674534	0.2129960995809077	0.23765531013505706	0.1548859875315182	0.14226252761682334	0.16823536001016978	16.589085459363847	12.564571317458858	21.439332965456078	1.4543622721255305	1.3751799176640465	1.5343887069622475	6.45636197268334	5.944053615955352	7.029257927241722	0.3015606451401779	0.3015606451401779	0.3015606451401779	0.12518643209127156	0.0978019000713059	0.15594159658806278	0.06028059849649769	0.046643242194672765	0.07958886735836894
8	real	768.0	0.22945167002882322			0.15375629151133183			23.301068157351242			1.4923075197343234			6.503798902604906			0.3015606451401779			0.12561956611843966			0.04291648748662668		
9	BD(p)		0.5310623635567139	0.4984511048613302	0.5644232385121539	0.22854843731754956	0.2018826048193992	0.2571521279864953				2.3236315670749734	2.180942957701228	2.469600077501005	4.375440111238132	3.888748686740467	4.9533737733104015	0.7304489928830195	0.7304489928830195	0.7304489928830195						
9	BDPN(p)		0.5095143020442268	0.4767389661702824	0.542875896243816	0.12840106156680625	0.10849464569699277	0.15128630629348547	16.200443729283418	13.482409622117885	19.384584026572327	3.9681471151944474	3.7128896003888423	4.227970467061606	7.7880976044711785	6.6099835768352095	9.217044708296767	0.7304489928830195	0.7304489928830195	0.7304489928830195	0.3856800725667748	0.3352102193207321	0.4378732695264336	0.06172670432430385	0.051587385039018815	0.07417071784849948
9	real	629.0	0.532209469355236			0.1390944849767228			14.369769691961723			3.826244221288143			7.189357652586643			0.7304489928830195			0.3928137592009098			0.0695905377355761		
10	BDPN(p)		0.11064565900916744	0.10293619861008536	0.1182742093810317	0.05856106973763586	0.05136593602043138	0.06619001748338066	10.996456252017868	9.779734927255394	12.31146926673282	1.889406383880621	1.7577581671792892	2.0196729655199515	17.076190795014163	15.108018369251607	19.46815491889876	0.4658447852104491	0.4658447852104491	0.4658447852104491	0.8166758141523622	0.7688237156668722	0.8603585303113697	0.09093838752066133	0.08122507381812903	0.1022522601520696
10	real	684.0	0.10952934411184516			0.06846227353923433			10.404639819205869			1.5998496463760603			14.606584740819635			0.4658447852104491			0.8636938652011614			0.09611096754681554		
10	BD(p)		0.13940643765865984	0.1307560353049936	0.14894185133933094	0.11742124661928252	0.10832583672715107	0.126956869967074				1.187233500515119	1.1135636783771063	1.2684403855994508	8.516346306919411	7.876690723860378	9.231408039051477	0.4658447852104491	0.4658447852104491	0.4658447852104491						
11	real	913.0	0.2404657828822794			0.1202784815366755			50.429565880956744			1.9992419243250608			8.31403911343093			0.4438036290312925			0.3975764689655562			0.01982963728778837		
11	BD(p)		0.2663383835459915	0.2528641687565466	0.2806396882909473	0.1807084248533856	0.16737069019629836	0.1950109545447262				1.4738570366161965	1.3992937460536399	1.5529972579786424	5.533776307393147	5.1279170564269405	5.974761762810228	0.4438036290312925	0.4438036290312925	0.4438036290312925						
