	type	loglk	diff with max	diff with real
0	BDPN(psi)	-7397.654480708898	22.30719019926255	152.15624876149923
0	BDPN(p)	-7389.0134221156	13.666131605965347	160.79730735479643
0	BDPN(lambda)	-7375.347290509635	0.0	174.46343896076178
0	real	-7549.810729470397	174.46343896076178	0.0
1	BDPN(psi)	-7543.9681476127835	62.57059457336891	44.46887124487148
1	BDPN(p)	-7521.52149692547	40.12394388605571	66.91552193218467
1	BDPN(lambda)	-7481.397553039415	0.0	107.03946581824039
1	real	-7588.437018857655	107.03946581824039	0.0
2	BDPN(psi)	-22130.458118694758	26.64439631692585	24.29683057184957
2	BDPN(p)	-22113.43962299766	9.625900619827007	41.31532626894841
2	BDPN(lambda)	-22103.813722377832	0.0	50.94122688877542
2	real	-22154.754949266608	50.94122688877542	0.0
3	BDPN(psi)	-35786.45037094458	17.823054469372437	218.44365913768706
3	BDPN(p)	-35768.627316475206	0.0	236.2667136070595
3	BDPN(lambda)	-35772.14184479064	3.5145283154342906	232.7521852916252
3	real	-36004.894030082265	236.2667136070595	0.0
4	BDPN(psi)	-14169.445509383693	13.583141799121222	9.366490012089344
4	BDPN(p)	-14159.613404248625	3.7510366640526627	19.198595147157903
4	BDPN(lambda)	-14155.862367584572	0.0	22.949631811210566
4	real	-14178.811999395783	22.949631811210566	0.0
5	BDPN(psi)	-16829.58409629839	52.01917209746534	44.55389203813684
5	BDPN(p)	-16813.129016041912	35.56409184098811	61.00897229461407
5	BDPN(lambda)	-16777.564924200924	0.0	96.57306413560218
5	real	-16874.137988336526	96.57306413560218	0.0
6	BDPN(psi)	-24726.416472416164	3.6711743687847047	184.6584615607826
6	BDPN(p)	-24722.74529804738	0.0	188.3296359295673
6	BDPN(lambda)	-24725.465100143403	2.7198020960240683	185.60983383354323
6	real	-24911.074933976946	188.3296359295673	0.0
7	BDPN(psi)	-18665.201700276204	16.15438780216209	117.59612446289611
7	BDPN(p)	-18657.407354641724	8.360042167681968	125.39047009737624
7	BDPN(lambda)	-18649.047312474042	0.0	133.7505122650582
7	real	-18782.7978247391	133.7505122650582	0.0
8	BDPN(psi)	-23490.819539853117	60.626571668581164	75.99575464495865
8	BDPN(p)	-23455.59377870335	25.40081051881498	111.22151579472484
8	BDPN(lambda)	-23430.192968184536	0.0	136.62232631353982
8	real	-23566.815294498076	136.62232631353982	0.0
9	BDPN(psi)	-14064.53685931532	33.3104199750469	52.73956720165734
9	BDPN(p)	-14043.261927025575	12.035487685301632	74.0144994914026
9	BDPN(lambda)	-14031.226439340273	0.0	86.04998717670424
9	real	-14117.276426516977	86.04998717670424	0.0
10	BDPN(psi)	-27062.859790387643	39.77757853673393	28.78929757925289
10	BDPN(p)	-27023.08221185091	0.0	68.56687611598682
10	BDPN(lambda)	-27023.921641883273	0.8394300323634525	67.72744608362336
10	real	-27091.649087966896	68.56687611598682	0.0
11	BDPN(psi)	-25590.366925868926	60.19283528363303	59.45872316910754
11	BDPN(p)	-25558.40094619432	28.226855609027552	91.42470284371302
11	BDPN(lambda)	-25530.174090585293	0.0	119.65155845274057
11	real	-25649.825649038034	119.65155845274057	0.0
12	BDPN(psi)	-39580.46692362786	45.80184220018418	18.873721770767588
12	BDPN(p)	-39561.209842123295	26.544760695622244	38.13080327532953
12	BDPN(lambda)	-39534.66508142767	0.0	64.67556397095177
12	real	-39599.340645398624	64.67556397095177	0.0
13	BDPN(psi)	-29328.898564051215	4.4163500545146235	407.3595860858477
13	BDPN(p)	-29324.4822139967	0.0	411.7759361403623
13	BDPN(lambda)	-29326.23697559818	1.7547616014817322	410.0211745388806
13	real	-29736.258150137062	411.7759361403623	0.0
14	BDPN(psi)	-12312.162555923584	34.61562020715246	46.69286882677261
14	BDPN(p)	-12289.566962999083	12.020027282651427	69.28846175127364
14	BDPN(lambda)	-12277.546935716431	0.0	81.30848903392507
14	real	-12358.855424750356	81.30848903392507	0.0
15	BDPN(psi)	-18965.44577375724	50.537918706155324	16.7037733753059
15	BDPN(p)	-18942.42097365737	27.51311860628266	39.728573475178564
15	BDPN(lambda)	-18914.907855051086	0.0	67.24169208146122
15	real	-18982.149547132547	67.24169208146122	0.0
16	BDPN(psi)	-28418.89909094108	27.671798556704744	24.226168973214953
16	BDPN(p)	-28398.04180253739	6.814510153017181	45.083457376902516
16	BDPN(lambda)	-28391.227292384374	0.0	51.8979675299197
16	real	-28443.125259914294	51.8979675299197	0.0
17	BDPN(psi)	-51051.44987550515	24.42197395079711	99.21382130383427
17	BDPN(p)	-51027.02790155436	0.0	123.63579525463138
17	BDPN(lambda)	-51032.59854016852	5.570638614160998	118.06515664047038
17	real	-51150.66369680899	123.63579525463138	0.0
18	BDPN(psi)	-19958.79991802227	3.2952478157494625	97.22194898280941
18	BDPN(p)	-19958.372368109984	2.867697903464432	97.64949889509444
18	BDPN(lambda)	-19955.50467020652	0.0	100.51719679855887
18	real	-20056.021867005078	100.51719679855887	0.0
19	BDPN(psi)	-36602.46111911801	87.2380370255778	242.29906995765486
19	BDPN(p)	-36543.18809478814	27.96501269570581	301.57209428752685
19	BDPN(lambda)	-36515.22308209243	0.0	329.53710698323266
19	real	-36844.76018907566	329.53710698323266	0.0
20	BDPN(psi)	-32444.102302802443	20.289896370028146	150.420517904422
20	BDPN(p)	-32434.943137154947	11.130730722532462	159.5796835519177
20	BDPN(lambda)	-32423.812406432415	0.0	170.71041427445016
20	real	-32594.522820706865	170.71041427445016	0.0
21	BDPN(psi)	-19881.845263391522	31.768799642130034	20.76408804638777
21	BDPN(p)	-19869.91408094041	19.83761719101676	32.69527049750104
21	BDPN(lambda)	-19850.076463749392	0.0	52.5328876885178
21	real	-19902.60935143791	52.5328876885178	0.0
22	BDPN(psi)	-7429.302908594993	57.76386544374236	48.36201560659083
22	BDPN(p)	-7413.549650555905	42.010607404654365	64.11527364567883
22	BDPN(lambda)	-7371.539043151251	0.0	106.12588105033319
22	real	-7477.664924201584	106.12588105033319	0.0
23	BDPN(psi)	-18924.26046725731	19.50982816504984	32.191036508371326
23	BDPN(p)	-18916.731027876933	11.980388784671959	39.720475888749206
23	BDPN(lambda)	-18904.75063909226	0.0	51.700864673421165
23	real	-18956.451503765682	51.700864673421165	0.0
24	BDPN(psi)	-26421.2790222166	64.56797781462592	62.69419302229653
24	BDPN(p)	-26378.15399193718	21.44294753520444	105.81922330171801
24	BDPN(lambda)	-26356.711044401975	0.0	127.26217083692245
24	real	-26483.973215238897	127.26217083692245	0.0
25	BDPN(psi)	-7284.139857663688	2.2258470509004837	7.206302395378771
25	BDPN(p)	-7281.914010612788	0.0	9.432149446279254
25	BDPN(lambda)	-7298.0362435588495	16.12223294606156	-6.690083499782304
25	real	-7291.346160059067	9.432149446279254	0.0
26	BDPN(psi)	-20308.58505142431	11.453812330455548	117.37012974913887
26	BDPN(p)	-20301.791447433057	4.660208339202654	124.16373374039176
26	BDPN(lambda)	-20297.131239093855	0.0	128.82394207959442
26	real	-20425.95518117345	128.82394207959442	0.0
27	BDPN(psi)	-29373.54724582406	22.42922612228722	39.12507630704931
27	BDPN(p)	-29351.713155085363	0.5951353835916962	60.959167045744834
27	BDPN(lambda)	-29351.11801970177	0.0	61.55430242933653
27	real	-29412.672322131108	61.55430242933653	0.0
28	BDPN(psi)	-9466.286605765818	19.537968101954903	29.829902593028237
28	BDPN(p)	-9457.95559544637	11.206957782507743	38.160912912475396
28	BDPN(lambda)	-9446.748637663863	0.0	49.36787069498314
28	real	-9496.116508358846	49.36787069498314	0.0
29	BDPN(psi)	-22574.3982828558	9.177790748090047	191.5538675056887
29	BDPN(p)	-22568.849325346087	3.6288332383774105	197.10282501540132
29	BDPN(lambda)	-22565.22049210771	0.0	200.73165825377873
29	real	-22765.95215036149	200.73165825377873	0.0
30	BDPN(psi)	-26663.916620520864	53.838111227672925	183.38793048380103
30	BDPN(p)	-26623.036105076004	12.95759578281286	224.2684459286611
30	BDPN(lambda)	-26610.07850929319	0.0	237.22604171147395
30	real	-26847.304551004665	237.22604171147395	0.0
31	BDPN(psi)	-26189.628421799636	38.73853526613675	180.20426767105891
31	BDPN(p)	-26157.661825979012	6.771939445512544	212.17086349168312
31	BDPN(lambda)	-26150.8898865335	0.0	218.94280293719567
31	real	-26369.832689470695	218.94280293719567	0.0
32	BDPN(psi)	-14947.964079086069	51.20112336107741	210.76991725854896
32	BDPN(p)	-14918.141593692115	21.378637967123723	240.59240265250264
32	BDPN(lambda)	-14896.762955724991	0.0	261.97104061962636
32	real	-15158.733996344617	261.97104061962636	0.0
33	BDPN(psi)	-20072.223898421864	16.982469130798563	37.519585557867686
33	BDPN(p)	-20056.712553218127	1.4711239270618535	53.030930761604395
33	BDPN(lambda)	-20055.241429291065	0.0	54.50205468866625
33	real	-20109.74348397973	54.50205468866625	0.0
34	BDPN(psi)	-35329.29358530213	3.551969856278447	49.496173594925494
34	BDPN(p)	-35325.741615445855	0.0	53.04814345120394
34	BDPN(lambda)	-35325.76435158872	0.022736142862413544	53.02540730834153
34	real	-35378.78975889706	53.04814345120394	0.0
35	BDPN(psi)	-21083.74455789803	5.416747966883122	200.96907701507007
35	BDPN(p)	-21085.317137427668	6.989327496521582	199.3964974854316
35	BDPN(lambda)	-21078.327809931146	0.0	206.3858249819532
35	real	-21284.7136349131	206.3858249819532	0.0
36	BDPN(psi)	-16718.934273344883	46.71272991240767	68.42791672715612
36	BDPN(p)	-16705.78236025111	33.56081681863361	81.57982982093017
36	BDPN(lambda)	-16672.221543432475	0.0	115.14064663956378
36	real	-16787.36219007204	115.14064663956378	0.0
37	BDPN(psi)	-23578.7146773268	83.74575507399277	15.950675111729652
37	BDPN(p)	-23546.4461891159	51.47726686309397	48.21916332262845
37	BDPN(lambda)	-23494.968922252807	0.0	99.69643018572242
37	real	-23594.66535243853	99.69643018572242	0.0
38	BDPN(psi)	-40391.69740301334	0.8493406933484948	1393.1250330694602
38	BDPN(p)	-40390.848062319994	0.0	1393.9743737628087
38	BDPN(lambda)	-40391.25095446766	0.4028921476638061	1393.5714816151449
38	real	-41784.8224360828	1393.9743737628087	0.0
39	BDPN(psi)	-7770.926492413211	39.766880961127754	8.741814361928846
39	BDPN(p)	-7755.413126253559	24.25351480147583	24.25518052158077
39	BDPN(lambda)	-7731.1596114520835	0.0	48.5086953230566
39	real	-7779.66830677514	48.5086953230566	0.0
40	BDPN(psi)	-23141.184744475107	60.59853168208792	13.209886103599274
40	BDPN(p)	-23100.760074536196	20.17386174317653	53.63455604251067
40	BDPN(lambda)	-23080.58621279302	0.0	73.8084177856872
40	real	-23154.394630578707	73.8084177856872	0.0
41	BDPN(psi)	-32619.800929806253	4.619639455842844	90.87376974023209
41	BDPN(p)	-32615.18129035041	0.0	95.49340919607494
41	BDPN(lambda)	-32616.438346098486	1.2570557480757998	94.23635344799914
41	real	-32710.674699546485	95.49340919607494	0.0
42	BDPN(psi)	-21939.042987054603	8.969804976044543	33.3496498707791
42	BDPN(p)	-21930.07318207856	0.0	42.319454846823646
42	BDPN(lambda)	-21932.576993504885	2.5038114263261377	39.81564342049751
42	real	-21972.392636925382	42.319454846823646	0.0
43	BDPN(psi)	-22935.479544325546	15.246997331545572	25.526888415519352
43	BDPN(p)	-22925.760269474296	5.527722480295779	35.246163266769145
43	BDPN(lambda)	-22920.232546994	0.0	40.773885747064924
43	real	-22961.006432741066	40.773885747064924	0.0
44	BDPN(psi)	-15707.613670133467	33.221993789418775	32.718738757143
44	BDPN(p)	-15695.91956960965	21.52789326560196	44.412839280959815
44	BDPN(lambda)	-15674.391676344048	0.0	65.94073254656178
44	real	-15740.33240889061	65.94073254656178	0.0
45	BDPN(psi)	-14418.92744455235	27.129203632563076	69.16148984509164
45	BDPN(p)	-14406.163928971646	14.365688051859252	81.92500542579546
45	BDPN(lambda)	-14391.798240919787	0.0	96.29069347765471
45	real	-14488.088934397441	96.29069347765471	0.0
46	BDPN(psi)	-17536.149599922326	69.60586337893983	20.653992641859077
46	BDPN(p)	-17518.691333013823	52.14759647043684	38.11225955036207
46	BDPN(lambda)	-17466.543736543386	0.0	90.2598560207989
46	real	-17556.803592564185	90.2598560207989	0.0
47	BDPN(psi)	-28202.04777060682	7.439933520752675	168.92666114347958
47	BDPN(p)	-28196.071229757676	1.4633926716087444	174.9032019926235
47	BDPN(lambda)	-28194.607837086067	0.0	176.36659466423225
47	real	-28370.9744317503	176.36659466423225	0.0
48	BDPN(psi)	-10525.901749713137	10.852443190260601	16.07783848001236
48	BDPN(p)	-10522.950874855493	7.90156833261608	19.028713337656882
48	BDPN(lambda)	-10515.049306522877	0.0	26.93028167027296
48	real	-10541.97958819315	26.93028167027296	0.0
49	BDPN(psi)	-42105.57529946602	3.0202131262776675	46.77311848160025
49	BDPN(p)	-42102.555086339744	0.0	49.79333160787792
49	BDPN(lambda)	-42108.40385222238	5.848765882634325	43.94456572524359
49	real	-42152.34841794762	49.79333160787792	0.0
50	BDPN(psi)	-11782.215870106138	17.457893104648974	70.2274958927901
50	BDPN(p)	-11773.296642987458	8.538665985968692	79.14672301147039
50	BDPN(lambda)	-11764.757977001489	0.0	87.68538899743908
50	real	-11852.443365998928	87.68538899743908	0.0
51	BDPN(psi)	-36875.29970347309	4.2423666482791305	187.10597479597345
51	BDPN(p)	-36871.05733682481	0.0	191.34834144425258
51	BDPN(lambda)	-36873.13448090742	2.0771440826138132	189.27119736163877
51	real	-37062.40567826906	191.34834144425258	0.0
52	BDPN(psi)	-7691.356925549428	39.35867305620468	24.48528334153798
52	BDPN(p)	-7682.681795594489	30.68354310126597	33.16041329647669
52	BDPN(lambda)	-7651.998252493223	0.0	63.84395639774266
52	real	-7715.842208890966	63.84395639774266	0.0
53	BDPN(psi)	-33171.77442694263	1.4778593866576557	45.71052686133771
53	BDPN(p)	-33170.296567555975	0.0	47.18838624799537
53	BDPN(lambda)	-33172.03969322077	1.7431256647978444	45.44526058319752
53	real	-33217.48495380397	47.18838624799537	0.0
54	BDPN(psi)	-28830.319937927296	6.706704193013138	70.57076575278916
54	BDPN(p)	-28823.613233734282	0.0	77.2774699458023
54	BDPN(lambda)	-28828.97643035334	5.363196619058726	71.91427332674357
54	real	-28900.890703680085	77.2774699458023	0.0
55	BDPN(psi)	-10868.215566850884	35.204572866492526	9.520535140631182
55	BDPN(p)	-10850.994382811321	17.983388826929513	26.741719180194195
55	BDPN(lambda)	-10833.010993984391	0.0	44.72510800712371
55	real	-10877.736101991515	44.72510800712371	0.0
56	BDPN(psi)	-16899.024318759777	38.396989913624566	84.92577298122706
56	BDPN(p)	-16872.273252215313	11.6459233691603	111.67683952569132
56	BDPN(lambda)	-16860.627328846153	0.0	123.32276289485162
56	real	-16983.950091741004	123.32276289485162	0.0
57	BDPN(psi)	-21859.849509937645	50.43982175271594	17.979786896310543
57	BDPN(p)	-21841.890787488697	32.48109930376813	35.93850934525835
57	BDPN(lambda)	-21809.40968818493	0.0	68.41960864902649
57	real	-21877.829296833956	68.41960864902649	0.0
58	BDPN(psi)	-22449.349470104375	10.055117774623795	29.604667210165644
58	BDPN(p)	-22439.29435232975	0.0	39.65978498478944
58	BDPN(lambda)	-22439.928763952204	0.6344116224536265	39.02537336233581
58	real	-22478.95413731454	39.65978498478944	0.0
59	BDPN(psi)	-18050.427298385446	52.37030067480373	89.37925525059836
59	BDPN(p)	-18026.38706430006	28.330066589416674	113.41948933598542
59	BDPN(lambda)	-17998.056997710642	0.0	141.7495559254021
59	real	-18139.806553636045	141.7495559254021	0.0
60	BDPN(psi)	-33936.98591436382	10.305392783491698	102.11444373405538
60	BDPN(p)	-33926.680521580325	0.0	112.41983651754708
60	BDPN(lambda)	-33928.01039221456	1.3298706342320656	111.08996588331502
60	real	-34039.10035809787	112.41983651754708	0.0
61	BDPN(psi)	-18404.125086703847	8.913925877608563	26.852609997749823
61	BDPN(p)	-18396.944158920538	1.7329980942995462	34.03353778105884
61	BDPN(lambda)	-18395.21116082624	0.0	35.766535875358386
61	real	-18430.977696701597	35.766535875358386	0.0
62	BDPN(psi)	-34848.321433271405	13.836765102671052	40.060005830840964
62	BDPN(p)	-34835.012597620494	0.5279294517604285	53.36884148175159
62	BDPN(lambda)	-34834.484668168734	0.0	53.896770933512016
62	real	-34888.381439102246	53.896770933512016	0.0
63	BDPN(psi)	-37172.168059532654	31.28534848713025	288.0759024976287
63	BDPN(p)	-37159.966485982106	19.083774936581904	300.27747604817705
63	BDPN(lambda)	-37140.882711045524	0.0	319.36125098475895
63	real	-37460.24396203028	319.36125098475895	0.0
64	BDPN(psi)	-13652.93163976751	35.80726462214989	20.228622303951852
64	BDPN(p)	-13633.437981911818	16.31360676645818	39.72228015964356
64	BDPN(lambda)	-13617.12437514536	0.0	56.03588692610174
64	real	-13673.160262071462	56.03588692610174	0.0
65	BDPN(psi)	-15896.2390334873	35.4895628124159	124.71563098288789
65	BDPN(p)	-15882.349849671195	21.60037899631061	138.60481479899317
65	BDPN(lambda)	-15860.749470674884	0.0	160.20519379530379
65	real	-16020.954664470188	160.20519379530379	0.0
66	BDPN(psi)	-38393.12112165958	22.503198571044777	25.87915459823853
66	BDPN(p)	-38379.43146789224	8.813544803706463	39.56880836557684
66	BDPN(lambda)	-38370.61792308853	0.0	48.382353169283306
66	real	-38419.000276257815	48.382353169283306	0.0
67	BDPN(psi)	-23297.51781771926	71.4376814903444	58.49770980226094
67	BDPN(p)	-23254.04118663133	27.961050402413093	101.97434089019225
67	BDPN(lambda)	-23226.080136228917	0.0	129.93539129260535
67	real	-23356.015527521522	129.93539129260535	0.0
68	BDPN(psi)	-30131.244180769023	19.006036137154297	60.034444151082425
68	BDPN(p)	-30115.52603640617	3.2878917743000784	75.75258851393664
68	BDPN(lambda)	-30112.23814463187	0.0	79.04048028823672
68	real	-30191.278624920105	79.04048028823672	0.0
69	BDPN(psi)	-25279.959197214186	6.249254744954669	33.071059941037674
69	BDPN(p)	-25273.70994246923	0.0	39.320314685992344
69	BDPN(lambda)	-25279.092975608495	5.383033139263716	33.93728154672863
69	real	-25313.030257155224	39.320314685992344	0.0
70	BDPN(psi)	-41983.915569679826	20.87020334830595	35.3348482813235
70	BDPN(p)	-41963.04536633152	0.0	56.20505162962945
70	BDPN(lambda)	-41963.924911921575	0.8795455900544766	55.325506039574975
70	real	-42019.25041796115	56.20505162962945	0.0
71	BDPN(psi)	-39263.803793480794	14.821424756977649	51.797879994512186
71	BDPN(p)	-39248.98236872382	0.0	66.61930475148984
71	BDPN(lambda)	-39256.41622892039	7.4338601965719135	59.18544455491792
71	real	-39315.60167347531	66.61930475148984	0.0
72	BDPN(psi)	-59423.78111895489	0.03532474488019943	85.46623266668757
72	BDPN(p)	-59423.75170543523	0.0059112252201884985	85.49564618634759
72	BDPN(lambda)	-59423.74579421001	0.0	85.50155741156777
72	real	-59509.247351621576	85.50155741156777	0.0
73	BDPN(psi)	-32222.282639687113	8.65474071288918	36.56924039891237
73	BDPN(p)	-32213.668581818405	0.040682844180992106	45.18329826762056
73	BDPN(lambda)	-32213.627898974224	0.0	45.22398111180155
73	real	-32258.851880086026	45.22398111180155	0.0
74	BDPN(psi)	-33579.327788193485	9.529910759149061	68.6463836869516
74	BDPN(p)	-33569.797877434336	0.0	78.17629444610066
74	BDPN(lambda)	-33571.85457021457	2.0566927802356076	76.11960166586505
74	real	-33647.974171880436	78.17629444610066	0.0
75	BDPN(psi)	-15353.404982439997	69.10390870065748	72.87734179116342
75	BDPN(p)	-15310.670673931467	26.36960019212711	115.61165029969379
75	BDPN(lambda)	-15284.30107373934	0.0	141.9812504918209
75	real	-15426.28232423116	141.9812504918209	0.0
76	BDPN(psi)	-30243.2555587028	45.19572783701369	23.194632105944038
76	BDPN(p)	-30213.17692384008	15.117092974294792	53.27326696866294
76	BDPN(lambda)	-30198.059830865786	0.0	68.39035994295773
76	real	-30266.450190808744	68.39035994295773	0.0
77	BDPN(psi)	-20858.376926098557	79.48930674312942	39.37044000588139
77	BDPN(p)	-20827.789029044307	48.90140968887863	69.95833706013218
77	BDPN(lambda)	-20778.887619355428	0.0	118.85974674901081
77	real	-20897.74736610444	118.85974674901081	0.0
78	BDPN(psi)	-17377.6470428462	61.522689821929816	112.89278615788862
78	BDPN(p)	-17354.353944807488	38.229591783216165	136.18588419660227
78	BDPN(lambda)	-17316.124353024272	0.0	174.41547597981844
78	real	-17490.53982900409	174.41547597981844	0.0
79	BDPN(psi)	-34854.37871529944	65.14103130646254	100.78853283487842
79	BDPN(p)	-34807.95706406818	18.719380075199297	147.21018406614166
79	BDPN(lambda)	-34789.23768399298	0.0	165.92956414134096
79	real	-34955.16724813432	165.92956414134096	0.0
80	BDPN(psi)	-23916.762382589503	79.8029386676717	184.62237444143466
80	BDPN(p)	-23880.632624779828	43.67318085799707	220.7521322511093
80	BDPN(lambda)	-23836.95944392183	0.0	264.42531310910636
80	real	-24101.384757030937	264.42531310910636	0.0
81	BDPN(psi)	-33171.34128572894	54.799392607856134	74.9942181301376
81	BDPN(p)	-33142.18154993487	25.639656813786132	104.1539539242076
81	BDPN(lambda)	-33116.54189312108	0.0	129.79361073799373
81	real	-33246.335503859074	129.79361073799373	0.0
82	BDPN(psi)	-13848.18614377516	35.02851846811427	18.080326120731115
82	BDPN(p)	-13829.934276124879	16.776650817833797	36.33219377101159
82	BDPN(lambda)	-13813.157625307045	0.0	53.108844588845386
82	real	-13866.26646989589	53.108844588845386	0.0
83	BDPN(psi)	-33388.59753295018	27.260116276229382	46.923367779869295
83	BDPN(p)	-33369.98014633142	8.642729657469317	65.54075439862936
83	BDPN(lambda)	-33361.33741667395	0.0	74.18348405609868
83	real	-33435.52090073005	74.18348405609868	0.0
84	BDPN(psi)	-35139.24635439976	76.23343708456377	123.61613635514368
84	BDPN(p)	-35115.46430418049	52.4513868652939	147.39818657441356
84	BDPN(lambda)	-35063.012917315194	0.0	199.84957343970746
84	real	-35262.8624907549	199.84957343970746	0.0
85	BDPN(psi)	-16276.47321075214	14.95846799436913	28.619745177693403
85	BDPN(p)	-16261.881016853407	0.36627409563698166	43.21193907642555
85	BDPN(lambda)	-16261.51474275777	0.0	43.57821317206253
85	real	-16305.092955929833	43.57821317206253	0.0
86	BDPN(psi)	-16601.89606351598	54.69194350111866	27.97881481481454
86	BDPN(p)	-16575.11566714675	27.911547131890984	54.759211184042215
86	BDPN(lambda)	-16547.20412001486	0.0	82.6707583159332
86	real	-16629.874878330793	82.6707583159332	0.0
87	BDPN(psi)	-12386.164859395412	46.40649471607321	21.85731180363655
87	BDPN(p)	-12363.531894319305	23.773529639966	44.49027687974376
87	BDPN(lambda)	-12339.75836467934	0.0	68.26380651970976
87	real	-12408.022171199049	68.26380651970976	0.0
88	BDPN(psi)	-33696.5987027878	15.656077038183867	77.95102340501035
88	BDPN(p)	-33684.36794358145	3.425317831832217	90.181782611362
88	BDPN(lambda)	-33680.942625749616	0.0	93.60710044319421
88	real	-33774.54972619281	93.60710044319421	0.0
89	BDPN(psi)	-22499.835178214653	4.723502982989885	137.24088886812024
89	BDPN(p)	-22495.111675231663	0.0	141.96439185111012
89	BDPN(lambda)	-22496.87699128876	1.7653160570953332	140.1990757940148
89	real	-22637.076067082773	141.96439185111012	0.0
90	BDPN(psi)	-24700.68272044997	14.142638161898503	63.30550120753105
90	BDPN(p)	-24687.940841467494	1.4007591794215841	76.04738019000797
90	BDPN(lambda)	-24686.540082288073	0.0	77.44813936942955
