	data_type	type	sampled_tips	lambda	lambda_min	lambda_max	psi	psi_min	psi_max	upsilon	upsilon_min	upsilon_max	phi	phi_min	phi_max	p	p_min	p_max
0.tree	tree	bd		0.589139	0.562144	0.617732	0.0801	0.0658867	0.0963112	0			0.0801			0.334401	0.334401	0.334401
0.tree	tree	bdct		0.58914	0.555253	0.624405	0.0800995	0.0627965	0.101079	1e-06	1e-06	0.00683693	78.3081	0.001	500000.0	0.334401	0.334401	0.334401
0.tree	tree	real	960	0.6019797830572728			0.07459793529341098			0			0.07459793529341098			0.3344006087435304		
1.tree	tree	bd		2.42518	2.28906	2.56598	0.342116	0.288151	0.40313	0			0.342116			0.734891	0.734891	0.734891
1.tree	tree	bdct		2.42518	2.25414	2.60214	0.342116	0.275492	0.42029	1e-06	1e-06	0.0214854	16.8885	0.001	500000.0	0.734891	0.734891	0.734891
1.tree	tree	real	992	2.4685691176670463			0.31711401502699826			0			0.31711401502699826			0.7348909633991523		
2.tree	tree	real	618	0.42332981548179394			0.055362400758424926			0			0.055362400758424926			0.3981211930320578		
2.tree	tree	bdct		0.429573	0.396928	0.463891	0.0534542	0.0387014	0.071573	0.00563413	1e-06	0.0435055	9.27686	0.001	500000.0	0.398121	0.398121	0.398121
2.tree	tree	bd		0.428966	0.403054	0.455657	0.0545568	0.0428413	0.0688612	0			0.0545568			0.398121	0.398121	0.398121
3.tree	tree	bdct		1.86575	1.70732	2.03233	0.267038	0.196892	0.3538	1e-06	1e-06	0.0439463	16.61	0.001	500000.0	0.493143	0.493143	0.493143
3.tree	tree	bd		1.86575	1.73919	1.99711	0.267083	0.209917	0.334776	0			0.267083			0.493143	0.493143	0.493143
3.tree	tree	real	535	1.8993400093434336			0.2820842158566389			0			0.2820842158566389			0.4931431544749625		
4.tree	tree	real	633	0.2118589870412784			0.07163980730155668			0			0.07163980730155668			0.5651826645893037		
4.tree	tree	bd		0.220618	0.205176	0.236826	0.0759241	0.0642172	0.0892746	0			0.0759241			0.565183	0.565183	0.565183
4.tree	tree	bdct		0.220617	0.201743	0.24064	0.075924	0.0612904	0.0921353	1e-06	1e-06	0.0458994	0.075924	0.001	500000.0	0.565183	0.565183	0.565183
5.tree	tree	bdct		0.374481	0.351868	0.398314	0.049249	0.0386945	0.0616461	0.000537823	1e-06	0.0298189	48.9021	0.001	500000.0	0.423004	0.423004	0.423004
5.tree	tree	bd		0.374404	0.356171	0.39347	0.0493427	0.0410338	0.0588789	0			0.0493427			0.423004	0.423004	0.423004
5.tree	tree	real	998	0.37960295813882006			0.047803854533010316			0			0.047803854533010316			0.423004191652205		
6.tree	tree	bd		0.400047	0.387577	0.41244	0.103032	0.0854951	0.123057	0			0.103032			0.0507632	0.0507632	0.0507632
6.tree	tree	real	944	0.3940918425868577			0.10389154096240884			0			0.10389154096240884			0.0507632027975056		
6.tree	tree	bdct		0.400045	0.385237	0.416251	0.10303	0.0807109	0.128777	1e-06	1e-06	0.00976662	0.10303	0.001	500000.0	0.0507632	0.0507632	0.0507632
7.tree	tree	real	716	0.2950714878763922			0.11126760688814363			0			0.11126760688814363			0.4405543767888381		
7.tree	tree	bdct		0.290269	0.268235	0.313151	0.114371	0.094	0.136303	1e-06	1e-06	0.0517588	0.114371	0.001	500000.0	0.440554	0.440554	0.440554
7.tree	tree	bd		0.290269	0.272755	0.308384	0.114371	0.0984285	0.132489	0			0.114371			0.440554	0.440554	0.440554
8.tree	tree	bdct		0.193102	0.175843	0.211218	0.0553593	0.0426188	0.0696636	1e-06	1e-06	0.0615244	0.0553593	0.001	500000.0	0.559413	0.559413	0.559413
8.tree	tree	bd		0.193102	0.178844	0.207404	0.0553593	0.0451669	0.0668028	0			0.0553593			0.559413	0.559413	0.559413
8.tree	tree	real	541	0.1934075688856646			0.05763949009742773			0			0.05763949009742773			0.5594133399360014		
9.tree	tree	bdct		0.17515	0.157463	0.19422	0.0571315	0.0448528	0.0714358	1e-06	1e-06	0.0478525	0.0571315	0.001	500000.0	0.740548	0.740548	0.740548
9.tree	tree	bd		0.17515	0.160865	0.190406	0.0571314	0.0466068	0.0685749	0			0.0571314			0.740548	0.740548	0.740548
9.tree	tree	real	518	0.17800620056744396			0.05309559183690733			0			0.05309559183690733			0.7405481907964662		
10.tree	tree	bd		0.257529	0.2435	0.27183	0.0506205	0.042092	0.0601567	0			0.0506205			0.505375	0.505375	0.505375
10.tree	tree	real	873	0.26021258492685273			0.0535790548038463			0			0.0535790548038463			0.505375217937012		
10.tree	tree	bdct		0.257551	0.240013	0.275666	0.0502357	0.0402347	0.0626328	0.00280144	1e-06	0.0320162	12.9045	0.001	500000.0	0.505375	0.505375	0.505375
11.tree	tree	bd		0.342564	0.321216	0.364491	0.0651201	0.0546004	0.077517	0			0.0651201			0.70382	0.70382	0.70382
11.tree	tree	real	825	0.3547570431080143			0.057459427028429176			0			0.057459427028429176			0.7038197383318863		
11.tree	tree	bdct		0.342547	0.315863	0.370194	0.0651218	0.0520971	0.0803796	1e-06	1e-06	0.00879005	107.142	0.001	500000.0	0.70382	0.70382	0.70382
12.tree	tree	bdct		1.63128	1.50153	1.76648	0.26437	0.208816	0.330156	1e-06	1e-06	0.0322275	18.4537	0.001	500000.0	0.72661	0.72661	0.72661
12.tree	tree	real	774	1.610763803719866			0.26815827897621036			0			0.26815827897621036			0.7266101869286465		
12.tree	tree	bd		1.63128	1.5278	1.73887	0.264369	0.219103	0.315854	0			0.264369			0.72661	0.72661	0.72661
13.tree	tree	bd		0.383202	0.361554	0.406081	0.0520687	0.0424934	0.0635122	0			0.0520687			0.532626	0.532626	0.532626
13.tree	tree	real	837	0.38878402128655215			0.048567199336179666			0			0.048567199336179666			0.5326257416508666		
13.tree	tree	bdct		0.383972	0.357044	0.412571	0.0511041	0.0393609	0.0654085	0.0055353	1e-06	0.0210738	64.2531	0.001	500000.0	0.532626	0.532626	0.532626
14.tree	tree	bdct		0.497633	0.455924	0.540527	0.101839	0.0797807	0.127586	0.00141956	1e-06	0.03165	21.8508	0.001	500000.0	0.708185	0.708185	0.708185
14.tree	tree	bd		0.497633	0.464653	0.531948	0.102138	0.0847545	0.122163	0			0.102138			0.708185	0.708185	0.708185
14.tree	tree	real	720	0.4899687418937452			0.11100221484333765			0			0.11100221484333765			0.7081850901217671		
15.tree	tree	bdct		0.674161	0.625515	0.724672	0.0921116	0.0714692	0.116905	0.00688516	1e-06	0.0301613	48.4931	0.001	500000.0	0.603369	0.603369	0.603369
15.tree	tree	bd		0.673454	0.634709	0.713481	0.0939253	0.0772277	0.112997	0			0.0939253			0.603369	0.603369	0.603369
15.tree	tree	real	843	0.6861505305475045			0.09003042854434765			0			0.09003042854434765			0.6033692790247341		
16.tree	tree	bdct		1.16074	1.0775	1.24742	0.120081	0.0921717	0.15441	1e-06	1e-06	0.0234385	37.3415	0.001	500000.0	0.58977	0.58977	0.58977
16.tree	tree	real	849	1.1733614228484293			0.1247101817870928			0			0.1247101817870928			0.5897697209469634		
16.tree	tree	bd		1.16067	1.09442	1.22926	0.12009	0.0977609	0.14679	0			0.12009			0.58977	0.58977	0.58977
17.tree	tree	real	712	1.6616835306306763			0.16947640256613475			0			0.16947640256613475			0.5218927986337966		
17.tree	tree	bd		1.61881	1.52086	1.72069	0.175214	0.139827	0.217168	0			0.175214			0.521893	0.521893	0.521893
17.tree	tree	bdct		1.61882	1.49637	1.74735	0.175214	0.131661	0.22861	1e-06	1e-06	0.024415	21.4782	0.001	500000.0	0.521893	0.521893	0.521893
