	data_type	type	sampled_tips	lambda	lambda_min	lambda_max	psi	psi_min	psi_max	upsilon	upsilon_min	upsilon_max	phi	phi_min	phi_max	p	p_min	p_max
0.tree	tree	bd		2.13995	2.01619	2.26937	1.45613	1.33037	1.5885	0			1.45613			0.415266	0.415266	0.415266
0.tree	tree	bdct		1.6408	1.50788	1.78076	0.680636	0.569133	0.803576	0.709123	0.632255	0.781842	51.959	43.8937	61.2284	0.415266	0.415266	0.415266
0.tree	tree	real	986	1.5473798447926026			0.1864574795775123			0.7139605838155273			45.0574385796454			0.415265854646274		
1.tree	tree	bd		1.86101	1.74113	1.98571	0.962326	0.845915	1.08714	0			0.962326			0.458627	0.458627	0.458627
1.tree	tree	bdct		1.56976	1.43111	1.71544	0.467343	0.36442	0.585544	0.532862	0.450123	0.616801	68.6613	54.7922	85.6798	0.458627	0.458627	0.458627
1.tree	tree	real	714	1.533366252671934			0.17683583892317103			0.4959952555647187			65.12745242439071			0.4586271365234498		
2.tree	tree	real	731	1.6397360166189812			0.18447559490566814			0.1401334985159386			5.473000797902119			0.3247814368296267		
2.tree	tree	bdct		1.61067	1.50063	1.72588	0.227889	0.167622	0.302259	0.120095	0.0684922	0.181104	12.4542	7.44223	21.5707	0.324781	0.324781	0.324781
2.tree	tree	bd		1.61627	1.53346	1.70197	0.325953	0.269467	0.389828	0			0.325953			0.324781	0.324781	0.324781
3.tree	tree	bdct		0.162817	0.153335	0.173306	0.0716273	0.0583847	0.0859314	0.243423	0.192077	0.299576	3.1946	2.4383	4.13523	0.0802811	0.0802811	0.0802811
3.tree	tree	bd		0.19713	0.187171	0.207619	0.122872	0.110494	0.136221	0			0.122872			0.0802811	0.0802811	0.0802811
3.tree	tree	real	921	0.15997325331169676			0.0676392719974195			0.2325624058522064			2.6393210867693973			0.0802811293131258		
4.tree	tree	real	837	1.659548385363034			0.24564427804370834			0.6839898343386409			109.48447396494477			0.2994209792704784		
4.tree	tree	bd		2.67031	2.5113	2.83581	1.87324	1.7096	2.04458	0			1.87324			0.299421	0.299421	0.299421
4.tree	tree	bdct		1.95347	1.79045	2.12575	0.843972	0.701556	1.0012	0.690052	0.611882	0.765117	115.28	96.5149	136.643	0.299421	0.299421	0.299421
5.tree	tree	bdct		0.199521	0.184011	0.21573	0.0680396	0.054946	0.0832974	0.223289	0.170083	0.283211	21.6524	15.8193	29.2963	0.366181	0.366181	0.366181
5.tree	tree	bd		0.214115	0.201627	0.227463	0.100435	0.0880054	0.113785	0			0.100435			0.366181	0.366181	0.366181
5.tree	tree	real	741	0.19180698818299907			0.06145232704455589			0.2084868639691094			25.11715392940538			0.3661814929610302		
