	type	sampled_tips	lambda	lambda_min	lambda_max	psi	psi_min	psi_max	phi	phi_min	phi_max	R_naught	R_naught_min	R_naught_max	infectious_time	infectious_time_min	infectious_time_max	p	p_min	p_max	upsilon	upsilon_min	upsilon_max	partner_removal_time	partner_removal_time_min	partner_removal_time_max
0	real	527.0	0.7761877986498075			0.1957325409075551			64.30877242359675			3.965553172971901			5.109012509433994			0.2987834524384259			0.4834119112256407			0.015549978056074215		
0	BD(p)		0.9808431938343914	0.9253442629336152	1.0389602674324676	0.5732769215918425	0.5134784541989449	0.6361833429892185				1.7109413564230742	1.614131370166049	1.8123183199971529	1.7443576783507302	1.5718739118527143	1.947501383597596	0.2987834524384259	0.2987834524384259	0.2987834524384259						
0	BDPN(p)		0.7910175540052088	0.7431844599150497	0.8405693910558296	0.27816040903640593	0.2353954240483667	0.32583086113482146	55.86473665740881	47.74294584210439	65.00236325991312	2.8437460124013536	2.6717837469737864	3.0218872411343587	3.5950479202420174	3.0690769944785017	4.248170940631922	0.2987834524384259	0.2987834524384259	0.2987834524384259	0.5012296539751597	0.4434707680678659	0.5596793038999457	0.017900379735655298	0.015384056053492731	0.020945502678180003
1	real	547.0	0.09150178505549886			0.05918472743747275			28.711339782654175			1.5460371115532854			16.896250828500918			0.412557149301818			0.5614393500732452			0.03482944396081946		
1	BD(p)		0.11581849047825896	0.10774531536650638	0.12440056524783755	0.10176171556090877	0.09388970653271277	0.11034391098075427				1.1381342171745976	1.0588001074138356	1.2224692219676514	9.826878354870667	9.06257528042862	10.650794820107178	0.412557149301818	0.412557149301818	0.412557149301818						
1	BDPN(p)		0.09450774834266563	0.08720245550339488	0.10213642183701728	0.06483333312374256	0.057851562313333216	0.0724622330159154	31.674449196120047	27.13337667648589	36.83195024816098	1.4577030639823148	1.3450250249660622	1.5753689794426744	15.424164574284255	13.80029235064234	17.285617881568033	0.412557149301818	0.412557149301818	0.412557149301818	0.5475132112851789	0.4897676772824452	0.6058415863929488	0.03157118830412037	0.02715034075747673	0.036854977982398035
2	real	597.0	0.21635408795492728			0.0801882474338148			8.884141165980946			2.698077272900871			12.470655389062754			0.8175468342415309			0.03657238462090008			0.11256012047953368		
2	BD(p)		0.2203378727292586	0.20577246711833125	0.2355932997026361	0.08277913981627763	0.07191784780942825	0.09422228428107768				2.661756007833408	2.4858009828928944	2.8460467241568184	12.080338140978856	10.61320055685411	13.904754250291992	0.8175468342415309	0.8175468342415309	0.8175468342415309						
2	BDPN(p)		0.22003698114859524	0.20549155661919632	0.23529241271321394	0.08057023831326493	0.07000231603728442	0.09201340805693656	36.70669232283236	7.429959701081061	117.31901526119314	2.7309957839899903	2.550464798431217	2.9203390437840606	12.411530869648207	10.867981320518144	14.285241640682043	0.8175468342415309	0.8175468342415309	0.8175468342415309	0.01876159187093197	0.005862997459666239	0.036968163896764286	0.027242988586524814	0.008523767419745644	0.13459023201088152
3	real	769.0	0.4473149041032432			0.1468825974345976			63.39173902070609			3.0453907536760374			6.808158471225768			0.8773057189071051			0.3665120690933048			0.01577492612520636		
3	BD(p)		0.4703926193783257	0.4410555806671803	0.5008958422598144	0.315092784270247	0.2881004356220226	0.3436939988855652				1.4928701730436391	1.3997641415009308	1.5896772863900588	3.1736683603085165	2.9095649130986296	3.471011759634977	0.8773057189071051	0.8773057189071051	0.8773057189071051						
3	BDPN(p)		0.4512663814154341	0.4222453060507675	0.4817701879833841	0.2219409298732108	0.19863856617564565	0.2467309589562943	62.81035947113335	53.18807600723292	73.91102727981797	2.0332724643139555	1.902512106676247	2.170713568960025	4.5057033895067224	4.052997662839463	5.034269121313294	0.8773057189071051	0.8773057189071051	0.8773057189071051	0.3825927211276012	0.337010385212008	0.4290188544021858	0.015920940564901308	0.01352978082978233	0.018801206493425558
4	BD(p)		0.5165584366438758	0.4818186591747085	0.5527793407837832	0.4201568827631905	0.3849542539373757	0.457334554082744				1.2294418057528749	1.146758934438953	1.3156498523798827	2.3800633549626307	2.1865830846865624	2.5977112599012346	0.4566571813926974	0.4566571813926974	0.4566571813926974						
4	BDPN(p)		0.4094622425327251	0.3799444632871962	0.4409206086845314	0.214674785449448	0.1888001043989289	0.24232540346018056	61.345072025196416	53.32511339006636	70.22561928549686	1.9073606696541736	1.7698606871400195	2.0539003114008483	4.658208917765434	4.126682492718194	5.296607240677316	0.4566571813926974	0.4566571813926974	0.4566571813926974	0.7286301228078409	0.6688596830462603	0.7853421869866709	0.016301227906118806	0.014239817465113082	0.018752890269264463
4	real	543.0	0.41872635048364015			0.13024883603502982			54.0676844321516			3.214818367904844			7.677611796323882			0.4566571813926974			0.7442333920511603			0.018495336179134486		
5	BDPN(p)		0.5169324007701456	0.4811597440761218	0.5541064726889859	0.2537165944517992	0.22311419434240165	0.2861332944676194	24.662571906908354	21.24120026723533	28.54236606469412	2.037440246614818	1.896445698066202	2.183958340944287	3.94140557562142	3.494874659240909	4.482009775072188	0.6349737110422649	0.6349737110422649	0.6349737110422649	0.629181230430995	0.5695810552827465	0.6871216631761521	0.040547271540641104	0.03503563782110425	0.04707831890001552
5	real	626.0	0.49377051921884435			0.10407903377970058			24.595491753767217			4.744188154782319			9.608083046933881			0.6349737110422649			0.5851395501142435			0.04065785754606159		
5	BD(p)		0.5975828263334199	0.5585485984385574	0.6385663162649724	0.4360039449027791	0.3977711763078082	0.4769940608603913				1.3705904116685683	1.2810631760753992	1.4645883912985262	2.293557229678236	2.096462161806003	2.5140082026108588	0.6349737110422649	0.6349737110422649	0.6349737110422649						
6	BDPN(p)		0.5463524819041344	0.5064096731709216	0.5882912259635028	0.2358840536723597	0.2037709994593418	0.2711616799865364	44.689576562100285	36.67596340661625	54.29294576185168	2.3161908293428426	2.1468584471348744	2.493984721750766	4.239370930045948	3.687836718114637	4.907469672589642	0.6875161265545106	0.6875161265545106	0.6875161265545106	0.3965817002372163	0.34081239864135776	0.4543307172067015	0.02237658257089117	0.018418599064164952	0.027265814095004868
6	real	516.0	0.5708232168623668			0.1572889051116076			37.12582248496221			3.629138472655318			6.357727516066244			0.6875161265545106			0.42248966607265376			0.026935430195655582		
6	BD(p)		0.5881623919996897	0.5468775363122114	0.6320056084474894	0.3612770856816732	0.3225754456182122	0.4032235958137285				1.62800912460285	1.5137343551151028	1.749365330643636	2.767958554894664	2.4800135963817853	3.1000499684144005	0.6875161265545106	0.6875161265545106	0.6875161265545106						
