	data_type	type	sampled_tips	lambda	lambda_min	lambda_max	psi	psi_min	psi_max	upsilon	upsilon_min	upsilon_max	phi	phi_min	phi_max	p	p_min	p_max
0.tree	tree	bd		0.385855	0.361802	0.411594	0.209804	0.187782	0.233641	0			0.209804			0.598837	0.598837	0.598837
0.tree	tree	bdct		0.327359	0.29995	0.35596	0.0957386	0.0764948	0.117671	0.703815	0.628897	0.77439	26.9804	22.5837	32.0456	0.598837	0.598837	0.598837
0.tree	tree	real	905	0.3173241070066314			0.053145722787587876			0.699818017100889			26.195811894689584			0.5988369461157733		
1.tree	tree	bd		1.64995	1.54125	1.7623	0.606202	0.522869	0.696746	0			0.606202			0.621693	0.621693	0.621693
1.tree	tree	bdct		1.57301	1.43178	1.7206	0.256458	0.186606	0.342267	0.47782	0.388229	0.56859	13.6376	10.5531	17.6133	0.621693	0.621693	0.621693
1.tree	tree	real	730	1.5348294772532871			0.19595689675078481			0.5039804277373457			10.501229681579298			0.621692864854137		
2.tree	tree	real	947	0.46962617906013454			0.07999187729142948			0.4450411414632059			23.74108100708749			0.5540853381704638		
2.tree	tree	bdct		0.459401	0.423588	0.496577	0.132464	0.107301	0.16107	0.468776	0.401939	0.536216	27.3708	22.4336	33.1642	0.554085	0.554085	0.554085
2.tree	tree	bd		0.510867	0.480992	0.542322	0.254395	0.22668	0.283951	0			0.254395			0.554085	0.554085	0.554085
3.tree	tree	bdct		1.50096	1.37353	1.63428	0.333194	0.259878	0.419949	0.372667	0.306432	0.441894	110.236	85.5836	140.125	0.661017	0.661017	0.661017
3.tree	tree	bd		1.56689	1.4652	1.67258	0.618655	0.537829	0.706339	0			0.618655			0.661017	0.661017	0.661017
3.tree	tree	real	782	1.5082770972727864			0.24885348360386417			0.3274295549630646			101.31610192115207			0.6610174633680287		
4.tree	tree	real	677	0.06765366277651351			0.05365783471818055			0.0553583580214924			14.979827006634373			0.5340603015521301		
4.tree	tree	bd		0.0745485	0.0688025	0.0812237	0.0563849	0.0503272	0.0621067	0			0.0563849			0.53406	0.53406	0.53406
4.tree	tree	bdct		0.0731472	0.0658197	0.080776	0.053234	0.0458886	0.060863	0.0590178	0.0295094	0.0994506	20.1037	8.76586	42.6706	0.53406	0.53406	0.53406
5.tree	tree	bdct		0.143909	0.131628	0.157259	0.0600645	0.048067	0.0734151	0.519858	0.441677	0.598631	5.80036	4.64643	7.17311	0.407914	0.407914	0.407914
5.tree	tree	bd		0.173147	0.161716	0.185543	0.114169	0.101791	0.126566	0			0.114169			0.407914	0.407914	0.407914
5.tree	tree	real	751	0.13836888319096455			0.04839816400250214			0.4571757834244387			6.444934729010657			0.4079140195585978		
6.tree	tree	bd		0.8073	0.74982	0.867333	0.277016	0.229576	0.329454	0			0.277016			0.463982	0.463982	0.463982
6.tree	tree	real	502	0.7149168204986024			0.10388718790415756			0.2778760850871267			7.936955416804142			0.4639815942942584		
6.tree	tree	bdct		0.767727	0.694348	0.844915	0.151885	0.10768	0.206236	0.30277	0.217025	0.397414	12.0507	8.02994	18.3248	0.463982	0.463982	0.463982
7.tree	tree	real	667	0.7500014618476339			0.08296404958831673			0.5854706531182822			40.32763615467106			0.3991742073163217		
7.tree	tree	bdct		0.740555	0.677	0.807263	0.168491	0.125309	0.21998	0.589691	0.507917	0.669829	40.3845	32.5445	49.588	0.399174	0.399174	0.399174
7.tree	tree	bd		0.862433	0.806911	0.920557	0.44232	0.388017	0.500468	0			0.44232			0.399174	0.399174	0.399174
8.tree	tree	bdct		0.200823	0.190676	0.211311	0.0582513	0.0457276	0.0725556	0.350517	0.296434	0.406966	21.5309	17.638	26.056	0.0774515	0.0774515	0.0774515
8.tree	tree	bd		0.255458	0.24353	0.268806	0.149739	0.134633	0.165949	0			0.149739			0.0774515	0.0774515	0.0774515
8.tree	tree	real	987	0.20177167749714794			0.05283768658620456			0.3069702625824186			21.402197682887344			0.0774514964645563		
9.tree	tree	bdct		0.377285	0.348623	0.406838	0.144486	0.122067	0.169278	0.0376169	0.0176335	0.0667516	76.068	31.0796	172.568	0.65474	0.65474	0.65474
9.tree	tree	bd		0.379822	0.356885	0.403655	0.152411	0.134076	0.172435	0			0.152411			0.65474	0.65474	0.65474
9.tree	tree	real	925	0.3638289510733564			0.14397948291720938			0.0401913252563374			55.15939055260372			0.6547404628778554		
10.tree	tree	bd		1.66349	1.54741	1.7844	0.88703	0.777142	1.00423	0			0.88703			0.492943	0.492943	0.492943
10.tree	tree	real	645	1.2924466919865536			0.23576968792021805			0.614286270864708			116.24098242380691			0.4929426769452535		
10.tree	tree	bdct		1.37659	1.2483	1.51278	0.400801	0.306316	0.510429	0.63833	0.551058	0.723096	101.349	81.5266	124.758	0.492943	0.492943	0.492943
11.tree	tree	bd		0.266146	0.249057	0.284261	0.0741219	0.0604116	0.0893796	0			0.0741219			0.371988	0.371988	0.371988
11.tree	tree	real	525	0.2591147389317051			0.061040697547437794			0.0966678853388031			27.06138925692918			0.371987925091807		
11.tree	tree	bdct		0.263341	0.241309	0.287177	0.0519455	0.0376171	0.0691107	0.144372	0.0953083	0.204533	29.1209	17.3185	46.7367	0.371988	0.371988	0.371988
12.tree	tree	bdct		2.23058	2.07163	2.39805	0.232623	0.170193	0.310806	0.125032	0.0840064	0.173737	82.8379	52.7903	127.169	0.347477	0.347477	0.347477
12.tree	tree	real	717	2.2202328248806724			0.23889316359075385			0.0891488218957103			69.1643440893682			0.3474770849532346		
12.tree	tree	bd		2.19766	2.08129	2.31852	0.35509	0.288698	0.431356	0			0.35509			0.347477	0.347477	0.347477
13.tree	tree	bd		1.10992	1.0287	1.19565	0.87292	0.790326	0.960582	0			0.87292			0.456431	0.456431	0.456431
13.tree	tree	real	685	0.9642217135736832			0.5273686515990001			0.4186442225310807			65.87118216380047			0.4564306894824998		
13.tree	tree	bdct		0.954681	0.86341	1.05282	0.573075	0.484806	0.669341	0.436157	0.359489	0.515998	76.4421	59.1701	97.4198	0.456431	0.456431	0.456431
14.tree	tree	bdct		0.258034	0.226909	0.291404	0.211859	0.182207	0.244277	0.358238	0.26728	0.45538	10.4888	7.16781	15.1425	0.725207	0.725207	0.725207
14.tree	tree	bd		0.272529	0.247073	0.300178	0.269492	0.243796	0.297141	0			0.269492			0.725207	0.725207	0.725207
14.tree	tree	real	555	0.23664397239969584			0.20234019685957386			0.4016064194956875			9.860093672579517			0.7252072148012677		
15.tree	tree	bdct		1.41386	1.27589	1.55862	0.220808	0.159846	0.296132	0.323041	0.253007	0.399066	96.5991	69.9394	129.487	0.735137	0.735137	0.735137
15.tree	tree	bd		1.4122	1.30677	1.52172	0.415818	0.345332	0.494941	0			0.415818			0.735137	0.735137	0.735137
15.tree	tree	real	594	1.4168004927780151			0.17779392764259683			0.2640886672836235			80.1117255948627			0.7351368410142322		
16.tree	tree	bdct		0.271547	0.249882	0.294429	0.0817879	0.0653779	0.0999062	0.0745691	0.0215559	0.143253	2.60866	1.21125	8.88947	0.675794	0.675794	0.675794
16.tree	tree	real	820	0.2671356804927257			0.06836763401225956			0.1001969109486621			1.5623490882374969			0.6757941971896877		
16.tree	tree	bd		0.273801	0.256218	0.291916	0.0917708	0.0790062	0.106075	0			0.0917708			0.675794	0.675794	0.675794
17.tree	tree	real	666	0.5480088566593045			0.059608550515672404			0.4500437042561747			16.88383269925889			0.5722770259394107		
17.tree	tree	bd		0.596849	0.556699	0.638785	0.210711	0.179582	0.244082	0			0.210711			0.572277	0.572277	0.572277
17.tree	tree	bdct		0.558533	0.508442	0.611909	0.0912576	0.0665778	0.120819	0.461168	0.381905	0.542204	17.78	13.8746	22.4476	0.572277	0.572277	0.572277
18.tree	tree	bdct		0.351866	0.32514	0.379513	0.106012	0.0830404	0.131758	0.428539	0.346514	0.512808	3.621	2.79201	4.70412	0.330349	0.330349	0.330349
18.tree	tree	bd		0.40939	0.386259	0.433223	0.208301	0.185628	0.233092	0			0.208301			0.330349	0.330349	0.330349
18.tree	tree	real	844	0.33507910214861497			0.06968058635551225			0.5134729367463317			2.46828287773097			0.3303486200106418		
19.tree	tree	bdct		0.401481	0.381144	0.422453	0.0584826	0.0432138	0.0775549	0.365796	0.310784	0.423395	12.9934	10.5455	15.8628	0.111103	0.111103	0.111103
19.tree	tree	bd		0.456392	0.437714	0.47641	0.199851	0.175771	0.225595	0			0.199851			0.111103	0.111103	0.111103
19.tree	tree	real	984	0.39422420122174273			0.062355568956269126			0.2900734887649529			13.42210013227051			0.1111031039405119		
20.tree	tree	real	584	2.288692844496107			0.39034492365877743			0.3115958979487918			83.74733857922355			0.3774065217050605		
20.tree	tree	bd		2.59731	2.43314	2.76663	0.972926	0.822012	1.13775	0			0.972926			0.377407	0.377407	0.377407
20.tree	tree	bdct		2.42475	2.21823	2.64166	0.429434	0.308937	0.579096	0.380702	0.303372	0.462348	85.3951	64.1977	113.174	0.377407	0.377407	0.377407
21.tree	tree	real	506	0.17845962532382253			0.12025852987962475			0.7116535233798638			59.30885728613088			0.6692670292840533		
21.tree	tree	bd		0.211969	0.191367	0.233899	0.206455	0.185588	0.228385	0			0.206455			0.669267	0.669267	0.669267
21.tree	tree	bdct		0.189581	0.166008	0.215325	0.130545	0.109798	0.153431	0.640476	0.546031	0.729655	65.3492	50.9705	82.2207	0.669267	0.669267	0.669267
22.tree	tree	real	770	0.4783996472397974			0.05773965667427646			0.7439841501704392			27.798053104073276			0.0841617474385516		
22.tree	tree	bdct		0.507025	0.472433	0.544199	0.186282	0.144304	0.233957	0.750699	0.673723	0.821789	26.6988	22.4532	31.5461	0.0841617	0.0841617	0.0841617
22.tree	tree	bd		0.889505	0.836577	0.944769	0.681442	0.622966	0.742435	0			0.681442			0.0841617	0.0841617	0.0841617
23.tree	tree	bdct		1.07682	0.987522	1.17209	0.130581	0.0905931	0.183026	0.305497	0.236283	0.38078	55.5361	40.9566	75.0023	0.333613	0.333613	0.333613
23.tree	tree	real	553	1.0828062033159809			0.11657597529344682			0.2610863840473383			55.218802347315865			0.3336128722003998		
23.tree	tree	bd		1.08583	1.02067	1.15346	0.305811	0.249849	0.368734	0			0.305811			0.333613	0.333613	0.333613
24.tree	tree	real	775	0.33864934463294405			0.059519965594447			0.073116933746491			6.158366931459946			0.4332449751925232		
24.tree	tree	bd		0.336744	0.318383	0.355811	0.0754343	0.0626409	0.0897383	0			0.0754343			0.433245	0.433245	0.433245
24.tree	tree	bdct		0.336151	0.311932	0.360939	0.0607683	0.0467601	0.0769798	0.0872239	0.0504268	0.133576	9.84097	5.15041	17.8427	0.433245	0.433245	0.433245
25.tree	tree	real	948	1.2390588111336374			0.16207196913453673			0.440716370653607			48.13671406486137			0.1922287372703588		
25.tree	tree	bd		1.50371	1.43254	1.57799	0.759442	0.678709	0.844254	0			0.759442			0.192229	0.192229	0.192229
25.tree	tree	bdct		1.25383	1.17981	1.33003	0.241402	0.18318	0.31005	0.490631	0.426427	0.555297	44.8917	37.2638	53.6612	0.192229	0.192229	0.192229
26.tree	tree	bdct		1.017	0.948541	1.0875	0.28365	0.22182	0.355155	0.440986	0.373804	0.510317	116.904	94.2802	143.53	0.206332	0.206332	0.206332
26.tree	tree	bd		1.22918	1.16321	1.29776	0.66365	0.590525	0.740846	0			0.66365			0.206332	0.206332	0.206332
26.tree	tree	real	779	1.0081214791661646			0.23329874318557753			0.4524378058181871			105.24268002871533			0.2063319205866556		
27.tree	tree	real	892	1.3131306954938913			0.23746282609315406			0.603701090994773			49.71011868109963			0.4948993332310642		
27.tree	tree	bdct		1.34349	1.2373	1.45492	0.436509	0.351449	0.532788	0.568996	0.494537	0.643075	52.1187	42.4023	63.6417	0.494899	0.494899	0.494899
27.tree	tree	bd		1.56295	1.46915	1.66103	0.893541	0.801149	0.990729	0			0.893541			0.494899	0.494899	0.494899
28.tree	tree	real	898	0.2641895682870229			0.05198001914398993			0.2920499103212192			20.223814358976743			0.5502717511189453		
28.tree	tree	bdct		0.256295	0.23635	0.27727	0.0633299	0.0506692	0.0785878	0.33381	0.27448	0.396915	19.0808	14.7283	24.5381	0.550272	0.550272	0.550272
28.tree	tree	bd		0.27355	0.25758	0.289758	0.108766	0.0952952	0.12307	0			0.108766			0.550272	0.550272	0.550272
29.tree	tree	bd		0.389178	0.364917	0.414918	0.200926	0.175154	0.228577	0			0.200926			0.285247	0.285247	0.285247
29.tree	tree	bdct		0.330779	0.303727	0.35938	0.0981793	0.0746437	0.125833	0.404277	0.326896	0.485142	11.7411	8.99091	15.1403	0.285247	0.285247	0.285247
29.tree	tree	real	627	0.31754596738180196			0.08528196021691961			0.4490833496033449			12.0293024791896			0.2852469587506416		
30.tree	tree	bd		0.39488	0.37334	0.416806	0.204634	0.179975	0.231332	0			0.204634			0.188449	0.188449	0.188449
30.tree	tree	bdct		0.330521	0.309282	0.352448	0.0759455	0.0566236	0.098832	0.431925	0.364437	0.501825	25.4082	20.4381	31.2222	0.188449	0.188449	0.188449
30.tree	tree	real	756	0.3339018813492292			0.07089686673401331			0.4106720734854294			28.188130533678134			0.1884494675024285		
31.tree	tree	bd		4.24972	3.98314	4.52511	1.16748	0.975534	1.38181	0			1.16748			0.544429	0.544429	0.544429
31.tree	tree	real	676	4.204986108660943			0.7579807903762306			0.1922001961947584			103.69938513791395			0.5444288088394068		
31.tree	tree	bdct		4.27402	3.91985	4.64436	0.72296	0.539649	0.946911	0.201922	0.145132	0.26661	111.429	75.9685	162.573	0.544429	0.544429	0.544429
32.tree	tree	bdct		0.349273	0.324785	0.375013	0.0649469	0.0489601	0.0830655	0.160804	0.116206	0.212434	32.7526	22.3768	47.0959	0.350704	0.350704	0.350704
32.tree	tree	bd		0.354249	0.335621	0.373316	0.0985868	0.0825765	0.115751	0			0.0985868			0.350704	0.350704	0.350704
32.tree	tree	real	747	0.3365084409362581			0.06215915022977651			0.1301166274693666			29.922171412992157			0.3507042675782819		
33.tree	tree	bdct		0.469669	0.440377	0.500172	0.125065	0.0921101	0.164161	0.213939	0.157948	0.278421	31.834	22.2797	44.3409	0.124297	0.124297	0.124297
33.tree	tree	real	573	0.46074608942821943			0.12518586639552312			0.2092314731686695			30.314536529302842			0.1242965116586582		
33.tree	tree	bd		0.51307	0.485567	0.542619	0.229942	0.19417	0.268081	0			0.229942			0.124297	0.124297	0.124297
34.tree	tree	real	832	0.5628156038372878			0.12761420419000602			0.3346867644234151			17.291234253024495			0.7296710524883339		
34.tree	tree	bd		0.595225	0.556345	0.635255	0.241744	0.21071	0.276068	0			0.241744			0.729671	0.729671	0.729671
34.tree	tree	bdct		0.574668	0.525929	0.626137	0.148601	0.117466	0.184835	0.329299	0.261767	0.401347	17.6389	13.0911	23.7351	0.729671	0.729671	0.729671
35.tree	tree	real	984	0.5091578926421797			0.05721280987518015			0.3328994120244608			24.34509159739749			0.437828017778322		
35.tree	tree	bdct		0.505455	0.470971	0.541676	0.0665292	0.0506589	0.0856015	0.37671	0.319321	0.436969	26.2234	21.2699	32.0373	0.437828	0.437828	0.437828
35.tree	tree	bd		0.515854	0.490212	0.542543	0.165876	0.143978	0.189713	0			0.165876			0.437828	0.437828	0.437828
36.tree	tree	bd		0.10791	0.100393	0.115539	0.0854694	0.0782103	0.0930982	0			0.0854694			0.287319	0.287319	0.287319
36.tree	tree	real	794	0.08386589380844149			0.05008704053566248			0.5820460787924109			2.280549923484912			0.2873192003764305		
36.tree	tree	bdct		0.0850155	0.0777954	0.0926443	0.0506963	0.0429312	0.0592789	0.519487	0.441361	0.598321	2.69661	2.16157	3.32525	0.287319	0.287319	0.287319
37.tree	tree	real	869	3.6381025912584555			0.40029655511434936			0.090904227794781			122.4176172163498			0.5897003426685494		
37.tree	tree	bd		3.6721	3.46596	3.88399	0.514545	0.42628	0.616536	0			0.514545			0.5897	0.5897	0.5897
37.tree	tree	bdct		3.75487	3.48085	4.04085	0.381121	0.290546	0.491706	0.09965	0.0638387	0.142733	131.651	78.1079	216.684	0.5897	0.5897	0.5897
38.tree	tree	real	783	0.3169404532871098			0.12457509648913387			0.1642448537520583			59.993671963048264			0.6208768810320039		
38.tree	tree	bd		0.338623	0.316203	0.362457	0.169269	0.148892	0.1912	0			0.169269			0.620877	0.620877	0.620877
38.tree	tree	bdct		0.328159	0.300683	0.357713	0.136373	0.113106	0.162118	0.161894	0.116362	0.214276	62.5792	42.4391	91.0368	0.620877	0.620877	0.620877
39.tree	tree	bdct		0.463471	0.430954	0.497788	0.106327	0.0808178	0.135887	0.659165	0.586425	0.729728	24.0103	20.1907	28.406	0.263221	0.263221	0.263221
39.tree	tree	real	864	0.43313625115275345			0.06411772674792977			0.6726161809004818			23.381412694231962			0.2632208684615926		
39.tree	tree	bd		0.593423	0.561025	0.626782	0.332294	0.298	0.368522	0			0.332294			0.263221	0.263221	0.263221
40.tree	tree	bdct		0.223755	0.200261	0.248545	0.0842319	0.0647244	0.106165	0.630338	0.53431	0.723475	12.597	9.83167	15.9907	0.469628	0.469628	0.469628
40.tree	tree	bd		0.26945	0.247953	0.292332	0.173666	0.152757	0.19655	0			0.173666			0.469628	0.469628	0.469628
40.tree	tree	real	540	0.22040591497213202			0.06169959766886181			0.6181794822386447			12.240388571474718			0.4696282869064848		
41.tree	tree	bd		0.452814	0.420163	0.48713	0.154044	0.130131	0.180743	0			0.154044			0.687005	0.687005	0.687005
41.tree	tree	bdct		0.443811	0.402298	0.487661	0.109559	0.0841153	0.139119	0.203916	0.144972	0.271552	21.881	14.5781	32.8664	0.687005	0.687005	0.687005
41.tree	tree	real	630	0.42989502844545013			0.11852898657687046			0.1621477680447768			20.776349346359016			0.6870052034556642		
42.tree	tree	bd		0.5054	0.47289	0.538761	0.275869	0.245269	0.308285	0			0.275869			0.527875	0.527875	0.527875
42.tree	tree	bdct		0.431038	0.394082	0.470122	0.121256	0.0949496	0.151769	0.648804	0.571505	0.72357	27.0399	22.2935	32.5772	0.527875	0.527875	0.527875
42.tree	tree	real	804	0.43619710008854523			0.06079111169107999			0.6419081377225402			25.545211063644814			0.5278749613316022		
43.tree	tree	bdct		0.22813	0.211273	0.245292	0.0558554	0.0447129	0.0692061	0.0614779	0.0172914	0.118302	1.96639	0.901164	5.17199	0.602373	0.602373	0.602373
43.tree	tree	real	913	0.22743587260466416			0.051448946382918546			0.0770398081150073			1.4042082002910468			0.6023731470324237		
43.tree	tree	bd		0.228751	0.215407	0.2421	0.0627952	0.0531397	0.073285	0			0.0627952			0.602373	0.602373	0.602373
44.tree	tree	bd		0.875057	0.82555	0.92651	0.333359	0.291814	0.378166	0			0.333359			0.561122	0.561122	0.561122
44.tree	tree	real	924	0.7927390047013455			0.15607521735691604			0.29097572921856			66.23684291945129			0.5611223949953634		
44.tree	tree	bdct		0.82943	0.767945	0.893273	0.186838	0.148364	0.231653	0.325956	0.269296	0.386514	70.7949	55.8921	88.6104	0.561122	0.561122	0.561122
45.tree	tree	bd		0.884668	0.836342	0.934215	0.331273	0.284184	0.382755	0			0.331273			0.335234	0.335234	0.335234
45.tree	tree	bdct		0.841295	0.77975	0.90609	0.138271	0.101272	0.184041	0.352501	0.285719	0.423321	21.8327	16.7099	28.1524	0.335234	0.335234	0.335234
45.tree	tree	real	736	0.8570836681604206			0.11051875962292236			0.3152117638037376			22.451622318357263			0.3352341412867987		
46.tree	tree	bd		0.256195	0.240246	0.272404	0.129043	0.113537	0.146206	0			0.129043			0.347201	0.347201	0.347201
